[
(718,940),
(261,801),
(922,28),
(415,55),
(441,50),
(529,315),
(399,274),
(404,866),
(5,669),
(273,895),
(460,851),
(386,652),
(678,328),
(771,749),
(873,320),
(305,366),
(428,253),
(914,652),
(195,680),
(571,419),
(435,486),
(184,72),
(549,920),
(595,285),
(219,145),
(587,833),
(797,905),
(802,464),
(753,124),
(222,516),
(371,102),
(784,864),
(439,41),
(378,34),
(505,792),
(945,264),
(956,97),
(70,712),
(766,868),
(879,711),
(194,644),
(845,922),
(561,970),
(565,984),
(220,662),
(588,136),
(857,934),
(769,360),
(938,763),
(525,185),
(799,246),
(512,702),
(2,129),
(857,806),
(204,524),
(388,166),
(608,544),
(652,589),
(426,927),
(327,58),
(951,496),
(75,2),
(256,76),
(88,834),
(787,254),
(17,85),
(192,92),
(815,941),
(331,435),
(979,723),
(627,683),
(853,544),
(432,811),
(44,280),
(314,908),
(843,187),
(533,176),
(878,445),
(625,448),
(182,699),
(888,545),
(886,738),
(340,851),
(426,224),
(663,629),
(612,292),
(843,876),
(472,745),
(88,617),
(31,298),
(638,725),
(753,24),
(815,107),
(229,569),
(167,816),
(516,218),
(774,262),
(183,387),
(179,664),
(236,261),
(265,616),
(553,300),
(460,42),
(991,662),
(153,559),
(157,674),
(131,442),
(731,465),
(795,646),
(206,599),
(188,860),
(248,63),
(830,88),
(345,983),
(240,122),
(69,816),
(868,603),
(577,448),
(182,907),
(990,82),
(269,653),
(479,567),
(577,637),
(390,607),
(906,638),
(260,286),
(176,642),
(879,102),
(994,830),
(612,303),
(74,557),
(398,635),
(199,684),
(530,396),
(407,509),
(38,712),
(690,888),
(880,339),
(953,216),
(85,377),
(567,522),
(876,592),
(95,152),
(524,927),
(759,206),
(700,722),
(486,548),
(966,887),
(103,865),
(893,118),
(234,987),
(980,347),
(800,593),
(388,482),
(197,318),
(961,427),
(13,958),
(296,253),
(118,255),
(963,487),
(128,640),
(977,336),
(72,366),
(80,142),
(42,406),
(915,676),
(927,541),
(668,223),
(417,472),
(440,705),
(950,691),
(833,199),
(907,743),
(18,51),
(258,832),
(3,880),
(985,498),
(613,319),
(514,94),
(526,480),
(371,948),
(416,949),
(239,165),
(121,803),
(933,303),
(731,530),
(510,983),
(805,77),
(851,124),
(420,905),
(481,297),
(249,666),
(500,702),
(735,793),
(337,486),
(713,818),
(278,927),
(131,509),
(552,309),
(298,790),
(209,716),
(68,88),
(800,349),
(211,295),
(964,562),
(525,730),
(60,600),
(73,779),
(289,206),
(311,936),
(370,559),
(200,809),
(439,19),
(215,473),
(551,127),
(674,32),
(492,132),
(669,499),
(809,39),
(255,469),
(612,630),
(811,633),
(974,542),
(616,259),
(42,18),
(606,403),
(62,448),
(23,417),
(297,381),
(328,453),
(484,548),
(379,392),
(192,420),
(301,345),
(650,235),
(618,433),
(412,734),
(961,605),
(0,202),
(666,64),
(33,765),
(942,603),
(454,960),
(311,853),
(114,398),
(994,509),
(562,20),
(842,306),
(625,143),
(62,554),
(493,107),
(669,574),
(807,189),
(270,202),
(489,734),
(935,744),
(909,961),
(753,751),
(267,244),
(78,171),
(69,410),
(335,596),
(735,803),
(30,655),
(723,161),
(725,261),
(743,849),
(953,206),
(0,988),
(503,305),
(875,312),
(249,536),
(338,92),
(59,853),
(125,104),
(6,822),
(622,946),
(723,88),
(625,96),
(997,658),
(767,605),
(333,125),
(153,754),
(237,49),
(429,659),
(167,45),
(627,672),
(943,426),
(460,256),
(810,540),
(347,2),
(634,835),
(148,101),
(344,18),
(342,506),
(428,722),
(808,807),
(190,385),
(111,312),
(33,950),
(618,905),
(835,613),
(732,112),
(817,207),
(359,483),
(616,514),
(420,167),
(282,450),
(468,585),
(724,45),
(313,699),
(644,189),
(650,39),
(913,887),
(588,501),
(382,87),
(709,810),
(903,750),
(50,813),
(686,971),
(468,221),
(208,898),
(47,324),
(208,648),
(956,552),
(885,9),
(807,552),
(846,937),
(227,562),
(471,390),
(982,967),
(136,254),
(485,368),
(941,179),
(42,713),
(767,246),
(856,889),
(249,434),
(398,204),
(39,434),
(323,832),
(531,330),
(573,698),
(230,606),
(227,70),
(309,618),
(385,37),
(783,174),
(943,744),
(856,622),
(253,807),
(117,351),
(938,894),
(435,456),
(925,771),
(770,395),
(821,779),
(424,520),
(187,793),
(288,756),
(490,919),
(465,670),
(160,561),
(139,71),
(993,78),
(372,278),
(276,609),
(889,387),
(696,36),
(621,582),
(908,353),
(279,885),
(625,736),
(824,606),
(789,678),
(272,87),
(103,625),
(687,257),
(631,245),
(175,145),
(976,52),
(178,342),
(261,559),
(767,647),
(534,125),
(232,443),
(923,757),
(556,347),
(720,19),
(89,642),
(362,393),
(646,481),
(279,799),
(566,910),
(705,190),
(82,1),
(104,732),
(886,672),
(870,434),
(772,606),
(181,708),
(930,989),
(129,631),
(986,726),
(622,107),
(113,777),
(573,916),
(605,240),
(870,367),
(263,33),
(639,864),
(828,510),
(672,572),
(307,115),
(292,108),
(747,383),
(449,392),
(179,187),
(675,625),
(844,813),
(336,513),
(904,619),
(718,969),
(615,223),
(983,362),
(71,223),
(594,475),
(200,240),
(507,280),
(236,757),
(78,876),
(297,874),
(664,0),
(73,585),
(715,712),
(999,206),
(88,827),
(194,736),
(830,692),
(241,661),
(746,392),
(689,892),
(130,114),
(603,287),
(628,417),
(718,423),
(408,647),
(290,214),
(72,593),
(615,549),
(834,931),
(224,817),
(210,741),
(568,541),
(755,193),
(944,584),
(279,218),
(308,64),
(775,771),
(905,868),
(896,596),
(913,951),
(396,618),
(688,37),
(235,131),
(685,940),
(593,11),
(490,613),
(529,982),
(980,848),
(569,574),
(766,528),
(752,498),
(514,24),
(964,618),
(590,765),
(455,237),
(920,888),
(617,701),
(196,731),
(109,258),
(167,611),
(247,733),
(138,244),
(909,440),
(260,884),
(437,696),
(233,51),
(265,93),
(696,424),
(682,454),
(391,268),
(447,571),
(104,732),
(338,993),
(868,72),
(592,185),
(869,537),
(820,450),
(823,386),
(929,519),
(594,10),
(259,608),
(501,70),
(962,190),
(309,422),
(694,583),
(985,608),
(288,88),
(716,984),
(732,233),
(729,738),
(362,133),
(665,13),
(937,903),
(21,32),
(736,599),
(942,855),
(361,349),
(1,745),
(720,441),
(994,377),
(841,477),
(695,544),
(665,257),
(211,36),
(942,985),
(382,902),
(284,924),
(970,748),
(463,532),
(765,177),
(183,411),
(405,241),
(597,619),
(815,755),
(896,507),
(552,966),
(812,232),
(783,508),
(546,357),
(165,222),
(14,29),
