256
3,546
4,820
14,726
15,789
18,30
20,206
42,299
43,104
44,188
51,319
52,489
59,994
65,876
66,778
69,774
71,877
75,12
78,227
81,307
82,769
84,913
85,194
91,576
94,963
97,840
99,233
102,432
104,996
106,644
108,532
109,193
115,959
120,674
123,266
125,440
127,573
135,654
141,513
143,490
144,208
149,768
153,719
156,881
160,244
166,2
169,222
176,498
178,552
179,686
181,338
193,300
203,620
205,650
209,908
221,184
224,947
230,161
232,248
234,145
240,344
247,683
248,229
249,702
256,689
258,909
259,924
261,464
263,479
265,615
267,82
275,258
280,794
283,937
295,334
297,666
300,680
308,272
309,109
313,288
315,351
318,141
319,120
321,315
335,289
337,899
338,559
342,730
345,871
350,701
354,345
355,78
365,503
368,66
373,143
374,696
375,421
381,322
384,755
398,114
401,599
409,989
414,73
416,486
419,890
424,218
428,858
432,99
435,312
436,756
443,178
444,656
446,824
456,160
461,210
462,971
467,728
468,459
469,983
471,538
472,869
474,817
482,225
488,597
494,618
495,469
499,949
500,455
506,100
511,350
513,153
514,606
517,602
525,54
527,107
530,837
531,561
535,50
536,744
538,400
541,614
547,855
554,895
557,762
559,136
562,28
574,27
575,456
587,22
594,818
598,558
599,585
603,748
605,659
606,562
616,525
622,601
629,528
636,43
645,142
654,865
655,523
657,384
659,898
662,340
664,633
670,752
672,189
674,995
681,685
689,784
697,946
698,372
700,708
709,251
711,853
722,80
725,867
729,506
736,938
739,365
742,803
743,389
750,179
755,445
756,228
775,434
776,231
778,293
783,215
785,407
786,887
788,950
795,412
796,936
799,418
804,219
811,537
816,88
818,742
822,147
828,112
829,979
830,545
832,14
834,720
838,405
841,497
846,197
848,969
849,932
850,364
851,826
852,688
863,584
866,425
873,918
874,772
876,619
877,18
878,224
884,567
886,640
887,512
894,622
900,191
902,375
904,960
905,428
906,792
907,986
910,896
913,617
914,207
916,436
917,588
918,321
919,579
921,415
922,249
924,927
929,362
931,627
944,137
950,10
954,854
957,156
963,975
964,873
968,5
976,125
979,292
980,63
982,499
984,236
987,605
999,700
